bd;mysql
servidor;sistemas.virtual.uniandes.edu.co
puerto;3306
;
;
;
acm201310;
admwww;
blogisis12;
caramelos;
cloud_insc;
cluster_drupal;
codice;
cpresis;
csnas;
cumbia;
cupitaller;
cursos;
dbcipres;
device;
drupalimagine;
educonti;
emprendimiento;
esored;
eventos;
fomana11;
form_iase;
forointernacionalarqti;
gallery2MOroDev;
gsd;
historia_dpto;
ie4;
ie1310;
imagine;
imagine2014;
imaginejoomla3;
information_schema;
intranet12;
isis2701_ava;
labforense;
labpropgeneral;
labredes;
lae;
losalpes;
maestria;
mati;
mecatronicaceldas;
mecatronicadev_drupal;
modcurricular;
moro;
morodev_drupal;
movis;
mujeresencomputacion;
mysql;
n4g105;
opcion_ti;
performance_schema;
posgrados;
posters_isc;
qualdevjuger;
revistaticsw;
rincondaspirante;
saihs;
scouting;
sibsipaim2009;
sistemas12;
sistemas2014;
sis_temas;
sitio;
sust_maestria;
test;
ticsw_joomla;
tongo;
url_shortener;
vivelabs;
vwtdev_drupal;
vwt_drupal;
XVJG09;
