paginas Web;Encargado;Plataforma
acm.uniandes.edu.co;mar-san1;WORDPRESS
admonsis.uniandes.edu.co;AdmonSIS;JOOMLA
ag-mox.uniandes.edu.co;Imagine;SILVERSTRIPE
alpescom.losalpes.com.co;Los Alpes;joomla
autopartes.losalpes.com.co;Los Alpes;joomla
backus1.uniandes.edu.co/AnimadoresLAE;Proyecto animadores;Dokuwiki
backus1.uniandes.edu.co/proyectodegrado;jo-casal;Repositorio
backus1.uniandes.edu.co/saludcomit1220;Comit;JOOMLA
backus1.uniandes.edu.co/sarueda;sarueda;Repositorio
backus1.uniandes.edu.co/scalableModels;pfiguero;Repositorio
bpo.losalpes.com.co;Los Alpes;joomla
comit.uniandes.edu.co;Comit;Joomla 1.5 
cumbia.uniandes.edu.co;TICSw;Dokuwiki
cupi2.uniandes.edu.co;Cupi2;Joomla! 1.5 
documentacion.virtual.uniandes.edu.co/sitios/Admonsis;AdmonSIS;SharePoint 
entornoaprendizaje.uniandes.edu.co;;Repositorio archivo flash
forosisis.uniandes.edu.co;WebSIS;WORDPRESS 3
imagine.uniandes.edu.co;Imagine;SILVERSTRIPE
labmoviles.virtual.uniandes.edu.co;cjimenez;Joomla! 1.5 
maraton.uniandes.edu.co;mar-san1;Dokuwiki
marketplace.losalpes.com.co;Los Alpes;Joomla! 1.5 
muebles.losalpes.com.co;Los Alpes;Joomla! 1.5 
paradigma.uniandes.edu.co;o-gonza1;Joomla! 1.5 
qualdev.uniandes.edu.co;rcasalla, df.mendez73;Dokuwiki
seguros.losalpes.com.co;Los Alpes;Joomla
sib-sipaim2009.uniandes.edu.co;Imagine;Drupal
sisinfo.uniandes.edu.co;SISInfo;widget
sistemas.uniandes.edu.co;WebSIS;Joomla
sis-temas.uniandes.edu.co;WebSIS;WordPress 3.4.2
sistemas.uniandes.edu.co/~cloudcomputing;WebSIS;Dokuwiki
sistemas.uniandes.edu.co/~cloudport;WebSIS;Dokuwiki
sistemas.uniandes.edu.co/~comite_coordinadores;ccardena;Dokuwiki
sistemas.uniandes.edu.co/~esored;Comit;repositorio
sistemas.uniandes.edu.co/~eventos;WebSIS;repositorio
sistemas.uniandes.edu.co/~forointernacionalarqti;mi.rodriguez21;Joomla! 1.5
sistemas.uniandes.edu.co/~historia/;WebSIS;WordPress 3.1.3 
sistemas.uniandes.edu.co/~iasaWiki;Wiki IASA;Dokuwiki
sistemas.uniandes.edu.co/~labforense;hcastro;Joomla! 2.5.7
sistemas.uniandes.edu.co/~labpropgeneral;hcastro;Joomla! 2.5.7
sistemas.uniandes.edu.co/~labredes;hcastro;Joomla
sistemas.uniandes.edu.co/~manuales;hcastro;repositorio
sistemas.uniandes.edu.co/~pruebasCupi2;Cupi2;Joomla! 1.5
sistemas.uniandes.edu.co/~rincondelaspirante;¿WebSIS?;Joomla! 1.5
sistemas.uniandes.edu.co/imaginejoomla3;Imagine;joomla
sistemas.uniandes.edu.co/imaginenglish;Imagine;Dokuwiki
sistemas.uniandes.edu.co/mati-desact;WebSIS;joomla
sistemas.uniandes.edu.co/mujeresencomputacion;rcasalla, dh.rodriguez25;joomla
sistemas.uniandes.edu.co/nuevowp/wordpress;WebSIS;WordPress
sistemas.uniandes.edu.co/proyectodavidold;Imagine;Dokuwiki
sistemas.uniandes.edu.co/sitios/emprendimiento;mi.rodriguez21;Joomla! 1.5
sistemas.virtual.uniandes.edu.co/reservas;admonsis;repositorio
ticsw.uniandes.edu.co;TICSw;Joomla! 1.5
Device.virtual.uniandes.edu.co;pfiguero;wordpress
vivelabs.uniandes.edu.co;pfiguero;wordpress
cursos.virtual.uniandes.edu.co;Alvar-go;wordpress
